Basis,Class,Sensitivity,Specificity,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy
CDC Level (Overall),Class: Low,0.720960831822339,0.978513280830381,0.536073495197757,0.990275039117942,0.536073495197757,0.720960831822339,0.614920348168829,0.0332911858298918,0.0240016410282709,0.0447730418371397,0.84973705632636
CDC Level (Overall),Class: Moderate,0.686111470950191,0.915429704800857,0.666903632662483,0.921982923136675,0.666903632662483,0.686111470950191,0.676371211476247,0.19793621464137,0.135806307381903,0.203637078478224,0.800770587875524
CDC Level (Overall),Class: Substantial,0.435571163107282,0.887259052809027,0.45444804409237,0.879383249364765,0.45444804409237,0.435571163107282,0.444809418798845,0.17736833979969,0.0772565340649584,0.170000806625224,0.661415107958154
CDC Level (Overall),Class: High,0.881426998474402,0.852398384081371,0.896302399210826,0.83240261265678,0.896302399210826,0.881426998474402,0.888802462838823,0.591404259729049,0.521279681537951,0.581589073059412,0.866912691277887
CDC Level (Cases only),Class: Low,0.743665859020234,0.9628751223976,0.408226900378754,0.990915382546275,0.408226900378755,0.743665859020234,0.527105333492559,0.0332911858298918,0.0247575183079887,0.0606464647112148,0.853270490708917
CDC Level (Cases only),Class: Moderate,0.687587710775741,0.864641172830996,0.556264901356296,0.91813208768127,0.556264901356296,0.687587710775741,0.614993941207993,0.19793621464137,0.136098508704875,0.244664922005751,0.776114441803369
CDC Level (Cases only),Class: Substantial,0.414220875635855,0.853758269673837,0.379153778718759,0.871129795826418,0.379153778718759,0.414220875635855,0.395912345723436,0.17736833979969,0.0734696690219055,0.193772746430683,0.633989572654846
CDC Level (Cases only),Class: High,0.79090819586544,0.918821006942175,0.933782511280104,0.752230585132572,0.933782511280104,0.79090819586544,0.85642746060778,0.591404259729049,0.467746476089438,0.500915866852351,0.854864601403808
CDC Level (Positivity only),Class: Low,0.977134513245936,0.706198789175521,0.102764010320952,0.998886210583579,0.102764010320952,0.977134513245936,0.185969809223365,0.0332911858298918,0.0325299666612714,0.316550186779145,0.841666651210729
CDC Level (Positivity only),Class: Moderate,0.131674115335622,0.79133790354861,0.134746249530501,0.786910336980573,0.134746249530501,0.131674115335622,0.133192469807159,0.19793621464137,0.0260630759557841,0.193423386896453,0.461506009442116
CDC Level (Positivity only),Class: Substantial,0.0919818210840489,0.896726157234845,0.161099066879771,0.820798398495499,0.16109906687977,0.0919818210840489,0.117102367276826,0.17736833979969,0.0163146628974299,0.101270995626596,0.494353989159447
CDC Level (Positivity only),Class: High,0.609004369044726,0.930034384029076,0.926463657112549,0.621695646398333,0.926463657112548,0.609004369044726,0.734916527509516,0.591404259729049,0.360167778046653,0.388755430697806,0.769519376536901
GM criteria,Class: Low,0.706728069190161,0.994415574942697,0.813370267774701,0.989945798518797,0.8133702677747,0.706728069190161,0.756308437293404,0.0332911858298918,0.0235278154826103,0.0289263284075776,0.850571822066429
GM criteria,Class: Moderate,0.768913142042878,0.952629472227384,0.800230314435379,0.943517053857551,0.800230314435379,0.768913142042878,0.784259212107282,0.19793621464137,0.152195756723969,0.19018994154371,0.860771307135131
GM criteria,Class: Substantial,0.576545102444637,0.90112755882605,0.556987069818326,0.908002002218144,0.556987069818326,0.576545102444637,0.566597358392837,0.17736833979969,0.102260847640247,0.183596448071231,0.738836330635344
GM criteria,Class: High,0.924849178986313,0.876828040633294,0.915739813257969,0.889637168928088,0.915739813257969,0.924849178986313,0.920271954277024,0.591404259729049,0.546959744059419,0.597287281977482,0.900838609809803
